Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating,HouseAge,PricePerSqFt,SizeCategory
484681,1,3.7,2951,2016,3.0,0.98,82982,68.53,1.0,8,164.24296848525924,Medium
249503,5,1.3,4818,1906,2.0,1.75,65922,9.19,5.0,118,51.785595682855956,Extra Large
754811,2,2.5,3910,1908,1.0,1.48,58231,96.51,3.0,116,193.0462915601023,Large
627035,2,1.0,2770,2014,3.0,1.51,39301,48.84,1.0,10,226.3664259927798,Medium
748143,2,2.4,997,1947,3.0,0.91,72711,15.07,4.0,77,750.3941825476429,Small
552366,3,1.2,3426,1971,3.0,0.76,51323,34.24,2.0,53,161.22767075306479,Large
165725,5,1.4,2002,2013,0.0,0.8,28752,41.34,2.0,11,82.77972027972028,Medium
229981,1,1.4,2835,1958,2.0,1.98,92205,75.82,3.0,66,81.12204585537918,Medium
184654,4,2.9,1277,1986,3.0,0.18,23395,74.34,8.0,38,144.59984338292873,Small
691723,1,3.2,2054,1992,1.0,1.75,95957,61.19,8.0,32,336.7687439143135,Medium
419030,4,2.8,1722,1981,2.0,1.2,66273,10.59,7.0,43,243.3391405342625,Medium
428947,1,3.9,1219,1994,1.0,0.93,14895,15.16,6.0,30,351.8843314191961,Small
655839,5,2.1,3004,1993,2.0,1.48,86559,9.38,9.0,31,218.32190412782955,Large
373538,4,1.9,3397,2015,1.0,1.02,20699,57.72,4.0,9,109.96114218428025,Large
431236,3,3.6,1920,1938,0.0,1.76,75061,87.71,1.0,86,224.60208333333333,Medium
628178,1,1.7,3868,1998,3.0,1.81,19715,43.38,8.0,26,162.40382626680454,Large
665894,1,3.9,1750,1917,1.0,0.9,29169,16.08,7.0,107,380.51085714285716,Medium
589492,4,1.0,3136,1958,2.0,0.63,26163,55.8,7.0,66,187.97576530612244,Large
356840,3,3.9,3043,2005,3.0,1.23,15782,81.18,3.0,19,117.26585606309563,Large
573254,3,1.1,3445,2002,1.0,1.83,98177,74.17,5.0,22,166.40174165457185,Large
449457,5,3.7,2657,1916,2.0,0.5,94328,88.15,9.0,108,169.15957847196086,Medium
765987,3,2.6,2665,1913,1.0,1.28,45585,27.79,6.0,111,287.42476547842404,Medium
370936,3,4.0,3712,1930,0.0,1.3,40682,19.4,5.0,94,99.92887931034483,Large
339931,3,2.4,3653,1923,0.0,1.08,57864,87.98,3.0,101,93.05529701615112,Large
339629,2,2.7,4028,1998,1.0,0.35,94416,65.76,9.0,26,84.31703078450845,Large
305041,5,2.4,4519,2007,3.0,1.46,65114,31.09,5.0,17,67.5018809471122,Extra Large
798361,1,2.6,4028,1959,3.0,1.83,48067,74.23,5.0,65,198.20283018867926,Large
831912,4,2.9,3171,1944,3.0,0.44,52685,81.51,4.0,80,262.3500473036897,Large
517113,1,3.1,3691,1997,1.0,0.55,28073,49.73,4.0,27,140.1010566242211,Large
168148,5,2.4,4556,1902,1.0,1.95,46035,68.79,1.0,122,36.906935908691835,Extra Large
877089,4,2.9,894,1936,3.0,0.44,74977,37.53,7.0,88,981.0838926174497,Small
748531,5,2.8,3474,1942,2.0,1.72,93362,53.87,9.0,82,215.46660909614278,Large
351995,3,3.7,2755,1939,3.0,1.04,75450,52.42,3.0,85,127.76588021778585,Medium
778843,4,1.1,1593,1989,0.0,0.57,20382,84.8,2.0,35,488.9158819836786,Medium
672843,3,1.8,2634,1954,3.0,1.75,14437,84.0,3.0,70,255.44533029612757,Medium
356508,1,3.9,2916,1986,1.0,0.95,80971,83.27,1.0,38,122.25925925925925,Medium
903591,1,3.7,4906,2007,0.0,1.08,74612,1.1,6.0,17,184.1807990216062,Extra Large
996942,4,2.4,4125,1938,1.0,0.78,71929,74.95,7.0,86,241.68290909090908,Large
206530,4,2.9,3719,1914,1.0,1.23,22329,75.87,2.0,110,55.533745630545845,Large
704365,5,1.8,3397,2019,0.0,0.41,35169,67.84,8.0,5,207.34913158669414,Large
922352,5,1.6,4005,2012,1.0,0.84,97468,75.63,6.0,12,230.30012484394507,Large
560337,3,2.4,1614,1903,1.0,1.94,44594,84.2,4.0,121,347.1728624535316,Medium
824839,4,2.1,1145,1992,3.0,0.59,86957,47.03,5.0,32,720.3834061135371,Small
905889,1,2.8,3149,1985,2.0,1.35,70631,50.21,8.0,39,287.67513496348045,Large
559773,5,1.2,1162,1924,1.0,0.72,55033,12.47,3.0,100,481.73235800344236,Small
308261,5,3.9,3243,1912,1.0,1.57,73133,38.54,3.0,112,95.05427073697194,Large
864469,1,4.0,3065,1981,1.0,0.35,83165,64.34,4.0,43,282.0453507340946,Large
441097,5,3.1,2988,1932,3.0,1.94,83861,78.04,1.0,92,147.62282463186077,Medium
415139,3,2.6,3805,1915,2.0,0.96,62290,21.72,9.0,109,109.10354796320631,Large
271829,4,1.9,4081,2008,0.0,0.55,41750,13.78,8.0,16,66.60842930654252,Large
371836,1,3.4,1784,1941,3.0,0.24,50461,66.3,8.0,83,208.42825112107624,Medium
538974,4,3.1,2439,2007,3.0,0.42,83800,0.19,6.0,17,220.98154981549814,Medium
302283,5,1.5,1627,1965,2.0,1.09,88222,17.84,7.0,59,185.7916410571604,Medium
296769,5,3.7,3530,1954,2.0,0.74,34226,2.91,6.0,70,84.07053824362606,Large
661353,1,3.5,4331,1998,3.0,1.67,16721,16.69,9.0,26,152.70214731009006,Large
323165,3,3.8,3735,1941,0.0,0.92,66154,18.13,3.0,83,86.52342704149933,Large
723587,2,3.2,4676,1933,3.0,0.57,30609,38.77,3.0,91,154.74486740804107,Extra Large
635822,1,2.8,926,1929,2.0,1.27,62130,40.23,3.0,95,686.6328293736501,Small
587879,2,2.3,3977,2022,0.0,1.44,82909,87.43,3.0,2,147.8197133517727,Large
664685,2,3.8,3856,2018,2.0,0.42,65249,51.01,9.0,6,172.3768153526971,Large
882038,3,3.6,1403,1912,0.0,0.42,58895,72.34,4.0,112,628.679971489665,Small
453531,2,1.1,4249,1912,1.0,0.17,15656,10.41,7.0,112,106.73829136267356,Large
363160,2,1.1,4946,1917,2.0,1.5,84520,22.54,9.0,107,73.42498989082087,Extra Large
679879,3,2.1,4333,1931,2.0,1.36,73740,70.29,7.0,93,156.90722363258712,Large
320884,2,3.4,4167,1995,3.0,1.0,74309,5.28,9.0,29,77.0059995200384,Large
123247,2,4.0,4168,1998,2.0,1.7,39984,48.66,3.0,26,29.56981765834933,Large
124300,2,1.5,4597,2022,2.0,1.63,83822,59.94,4.0,2,27.03937350445943,Extra Large
567281,1,2.8,2592,1938,1.0,1.21,15901,60.21,8.0,86,218.85841049382717,Medium
707086,1,2.1,3661,1945,2.0,1.75,41552,2.29,6.0,79,193.14012564872985,Large
633556,1,3.9,4276,2015,1.0,0.49,41055,32.21,5.0,9,148.16557530402244,Large
448951,3,3.5,4217,1928,1.0,0.31,47685,63.65,4.0,96,106.46217690301162,Large
374329,5,3.5,2445,1961,1.0,0.61,83965,14.9,8.0,63,153.0997955010225,Medium
819064,2,2.4,2005,2012,1.0,0.21,24716,69.54,1.0,12,408.51072319201995,Medium
842139,2,2.2,3830,1992,0.0,1.11,21138,74.59,9.0,32,219.87963446475194,Large
532315,3,1.8,3672,1961,3.0,1.88,45298,98.2,1.0,63,144.9659586056645,Large
616588,2,1.2,3872,2016,0.0,0.17,61112,20.98,8.0,8,159.24276859504133,Large
336584,1,3.6,2654,2007,2.0,0.33,33429,82.51,4.0,17,126.8214016578749,Medium
662332,5,3.4,4821,1956,0.0,0.96,60200,52.03,9.0,68,137.3847749429579,Extra Large
937646,4,4.0,3508,1915,0.0,1.87,81308,37.35,5.0,109,267.287913340935,Large
476896,2,4.0,4302,1955,2.0,0.7,58244,12.24,3.0,69,110.85448628544863,Large
148984,1,2.7,2132,2007,2.0,1.06,27347,73.55,9.0,17,69.87992495309568,Medium
402918,4,3.3,1001,2010,2.0,0.18,26920,23.59,9.0,14,402.5154845154845,Small
364712,5,3.8,4307,2020,0.0,0.38,41822,37.14,4.0,4,84.67889482238216,Large
220151,4,3.5,1374,1909,0.0,1.97,56659,6.25,4.0,115,160.22634643377,Small
555808,1,1.7,1336,1929,2.0,1.93,50108,80.14,8.0,95,416.0239520958084,Small
233767,4,2.4,2425,1924,3.0,0.11,99099,76.66,2.0,100,96.39876288659794,Medium
748663,3,1.4,2922,2002,3.0,1.91,17967,73.36,9.0,22,256.21594798083504,Medium
803550,4,3.9,1185,1983,1.0,1.31,21871,29.94,6.0,41,678.1012658227849,Small
236330,2,2.8,4081,1904,2.0,1.75,87452,17.35,9.0,120,57.90982602303357,Large
580754,2,1.7,1274,1964,1.0,0.96,84270,63.76,8.0,60,455.850863422292,Small
401648,3,3.0,1217,1993,3.0,1.08,43613,49.62,7.0,31,330.0312243221035,Small
788519,1,2.9,4400,1948,1.0,1.03,38179,17.83,1.0,76,179.20886363636365,Large
113986,2,2.1,1754,1902,2.0,1.37,62188,68.59,3.0,122,64.98631698973774,Medium
686146,5,1.3,2005,1944,2.0,0.37,65099,99.11,2.0,80,342.21745635910224,Medium
229312,2,3.0,4920,1913,2.0,0.16,45262,74.72,5.0,111,46.608130081300814,Extra Large
112666,2,2.6,2790,2019,0.0,0.69,88213,74.0,5.0,5,40.38207885304659,Medium
400804,1,3.3,4372,1929,1.0,1.44,28268,95.03,5.0,95,91.67520585544374,Large
234633,4,2.6,4958,2013,3.0,0.48,87866,20.29,4.0,11,47.32412263009278,Extra Large
388998,2,3.6,3513,1967,3.0,1.38,96269,56.55,5.0,57,110.73099914602903,Large
950937,3,2.7,3003,1917,3.0,1.94,70545,97.96,3.0,107,316.6623376623377,Large
728776,4,2.7,3920,1961,0.0,0.28,82146,16.53,1.0,63,185.91224489795917,Large
807611,5,3.6,1766,1936,0.0,1.38,81966,70.03,5.0,88,457.3108720271801,Medium
384806,1,2.2,4232,1924,2.0,0.94,49922,58.58,9.0,100,90.92769376181475,Large
894824,5,1.4,1488,1947,3.0,1.75,89364,58.65,9.0,77,601.3602150537635,Small
130535,4,1.1,4501,1964,0.0,0.44,52913,69.77,4.0,60,29.001333037102867,Extra Large
475713,4,3.3,1141,1952,2.0,1.42,65677,92.96,3.0,72,416.92638036809814,Small
938688,4,2.9,2524,2009,3.0,1.69,59841,78.26,1.0,15,371.90491283676704,Medium
451279,5,3.1,2592,1978,1.0,1.89,56332,5.61,2.0,46,174.1045524691358,Medium
921654,4,1.6,2559,1972,2.0,1.4,35032,85.27,8.0,52,360.16178194607267,Medium
701661,5,1.4,4012,1914,0.0,1.04,47846,22.55,1.0,110,174.8905782652044,Large
747972,4,1.0,1789,1948,0.0,1.27,69474,37.69,8.0,76,418.0950251537172,Medium
589570,3,2.1,3062,2020,2.0,1.75,54936,46.17,7.0,4,192.54408883082954,Large
556551,4,2.8,3282,1987,2.0,1.18,39794,48.09,8.0,37,169.57678244972578,Large
373109,5,2.2,1751,1967,0.0,0.16,71588,43.52,6.0,57,213.08338092518562,Medium
124538,2,2.3,1522,1911,1.0,1.87,80984,93.74,9.0,113,81.82522996057818,Medium
994498,4,3.7,4189,1958,3.0,1.41,60331,70.6,3.0,66,237.4070183814753,Large
301664,2,2.0,2879,2021,1.0,1.39,38141,63.12,4.0,3,104.78082667592915,Medium
591234,3,2.5,3517,1936,2.0,0.51,19074,4.98,6.0,88,168.10747796417402,Large
999684,1,3.4,3132,1960,1.0,1.35,16406,90.39,8.0,64,319.18390804597703,Large
239182,3,2.2,4176,2000,0.0,0.85,33291,90.94,5.0,24,57.275383141762454,Large
572525,4,2.9,2300,1942,2.0,1.34,51568,78.02,3.0,82,248.92391304347825,Medium
258338,2,3.6,1085,1969,3.0,0.3,56851,0.7,6.0,55,238.09953917050692,Small
284064,2,3.8,4295,1938,0.0,1.35,64823,5.73,4.0,86,66.13830034924331,Large
314020,5,1.4,2865,1955,0.0,2.0,33312,22.52,9.0,69,109.60558464223385,Medium
723094,2,3.8,1568,1962,3.0,0.19,53108,13.13,3.0,62,461.15688775510205,Medium
997421,5,2.5,3857,1945,3.0,1.96,76918,39.88,4.0,79,258.60020741508947,Large
715270,1,1.8,2961,1987,1.0,0.87,44171,92.26,7.0,37,241.56366092536305,Medium
745914,4,2.4,4093,1910,2.0,1.75,51779,47.21,7.0,114,182.2413877351576,Large
219176,5,3.9,1746,1961,3.0,1.59,78828,1.34,4.0,63,125.5303550973654,Medium
318126,1,2.5,4135,1976,3.0,1.18,22411,28.27,6.0,48,76.93494558645708,Large
318969,2,2.0,4950,1997,2.0,1.5,67009,4.46,3.0,27,64.43818181818182,Extra Large
222409,2,2.9,2281,1924,3.0,1.77,25422,3.63,6.0,100,97.50504164839982,Medium
647707,1,1.7,2701,1970,3.0,0.87,52468,27.57,2.0,54,239.802665679378,Medium
353618,2,1.2,4251,1951,1.0,0.72,42371,27.56,8.0,73,83.18466243236885,Large
869598,1,1.4,4864,1903,0.0,1.37,67022,78.71,2.0,121,178.7824835526316,Extra Large
150015,5,1.4,854,1958,0.0,1.63,81229,97.48,7.0,66,175.6615925058548,Small
872838,5,1.5,2623,1971,0.0,1.55,61196,37.12,9.0,53,332.76324818909643,Medium
222096,1,1.4,4262,1919,0.0,1.62,90354,42.89,1.0,105,52.110746128578135,Large
731347,5,2.9,3879,1992,3.0,0.93,36715,84.48,8.0,32,188.54008765145656,Large
285340,5,1.5,1632,1962,2.0,1.65,37605,26.81,7.0,62,174.8406862745098,Medium
210687,5,2.0,3606,1953,2.0,0.33,41174,15.64,6.0,71,58.42678868552412,Large
974371,3,3.7,3290,2016,1.0,1.13,19956,85.31,6.0,8,296.1613981762918,Large
511357,4,2.4,1127,2014,1.0,0.11,86373,4.65,6.0,10,453.7329192546584,Small
835716,2,3.0,4110,2008,3.0,0.72,79252,61.97,9.0,16,203.33722627737225,Large
205878,3,1.5,4100,2009,2.0,0.8,71949,56.2,2.0,15,50.21414634146341,Large
827270,5,1.6,4475,1973,2.0,0.85,72646,34.59,1.0,51,184.86480446927374,Large
298286,1,1.1,3854,2006,0.0,1.42,80017,31.52,6.0,18,77.39647119875454,Large
873290,5,1.5,2943,1997,3.0,0.84,73037,77.19,8.0,27,296.73462453278967,Medium
874684,4,1.8,2111,1956,3.0,0.95,99818,8.64,3.0,68,414.3458076740881,Medium
264899,5,1.5,3991,1989,0.0,0.55,16548,23.68,1.0,35,66.37409170633926,Large
424767,1,1.3,3338,1940,3.0,0.81,83294,73.24,9.0,84,127.25194727381665,Large
961882,4,1.4,4783,2012,3.0,0.53,33177,54.83,1.0,12,201.10432782772318,Extra Large
979858,5,2.4,964,2021,1.0,0.24,34022,12.8,3.0,3,1016.4502074688796,Small
479989,4,1.6,1622,1902,2.0,1.25,15542,88.21,8.0,122,295.9241676942047,Medium
515515,2,2.1,1743,2019,3.0,1.37,70428,39.34,3.0,5,295.76305220883535,Medium
143585,2,2.5,1574,1905,1.0,1.28,32740,82.79,4.0,119,91.22299872935197,Medium
471369,5,3.1,2998,1904,2.0,0.98,69353,78.77,8.0,120,157.22781854569712,Medium
164044,4,1.1,3956,1904,0.0,0.82,66532,62.44,1.0,120,41.46713852376138,Large
542296,1,3.4,4495,1953,1.0,1.74,26052,49.45,6.0,71,120.64427141268075,Large
209556,5,2.9,4252,1946,1.0,1.09,57076,97.96,1.0,78,49.284101599247414,Large
626981,2,1.2,1714,1986,2.0,1.01,63420,14.5,1.0,38,365.79988331388563,Medium
981691,2,3.6,2108,1948,0.0,0.15,10671,72.52,8.0,76,465.69781783681213,Medium
867595,5,3.8,4977,1908,1.0,0.75,10163,19.12,4.0,116,174.32087602973678,Extra Large
300235,4,1.2,1313,1998,3.0,0.82,51424,33.83,1.0,26,228.66336633663366,Small
125939,2,1.8,2720,1919,3.0,0.86,63744,30.87,7.0,105,46.301102941176474,Medium
252906,4,3.4,4394,2021,3.0,1.2,80331,94.7,5.0,3,57.557123350022756,Large
642335,2,3.2,2209,2012,0.0,1.11,20634,96.74,5.0,12,290.78089633318245,Medium
388249,2,1.6,3990,1960,1.0,1.26,14798,18.3,1.0,64,97.30551378446116,Large
175766,3,1.6,2355,2022,3.0,1.55,32420,2.2,6.0,2,74.63524416135881,Medium
508923,2,2.1,1604,2005,0.0,1.64,39300,72.0,9.0,19,317.28366583541145,Medium
515192,1,2.5,2079,1934,3.0,1.46,99881,41.8,9.0,90,247.80759980759981,Medium
668550,5,2.9,4377,1949,2.0,1.92,20749,8.88,8.0,75,152.74160383824537,Large
487261,5,2.1,3701,1981,1.0,0.13,35121,68.38,5.0,43,131.65657930289112,Large
910208,4,2.4,2187,1961,1.0,0.47,47487,54.51,1.0,63,416.1902149062643,Medium
785440,2,3.2,3561,1916,0.0,0.11,43361,98.05,9.0,108,220.56725638865487,Large
752664,1,1.1,3479,1987,0.0,1.33,31223,22.74,1.0,37,216.3449267030756,Large
554589,4,1.8,2906,1902,1.0,1.81,82930,40.4,8.0,122,190.8427391603579,Medium
237848,3,3.1,3568,1931,3.0,0.56,24056,54.25,5.0,93,66.66143497757848,Large
717075,4,3.7,4753,1998,3.0,1.86,38380,79.17,3.0,26,150.86787292236482,Extra Large
227948,4,2.5,3986,2001,2.0,0.21,36035,54.88,7.0,23,57.18715504264927,Large
679304,2,2.6,4080,1912,3.0,1.88,40620,61.29,7.0,112,166.49607843137255,Large
502690,3,1.3,3373,2019,0.0,0.77,29877,22.61,9.0,5,149.0335013341239,Large
599046,4,2.3,3399,2010,0.0,0.29,65316,84.69,7.0,14,176.24183583406884,Large
551269,1,2.6,4833,1988,3.0,1.02,74041,42.86,3.0,36,114.06352162218084,Extra Large
121959,1,1.7,1036,1972,0.0,0.59,63352,14.1,1.0,52,117.72104247104247,Small
760890,5,1.8,2104,1967,1.0,0.64,40911,66.42,8.0,57,361.6397338403042,Medium
850216,3,2.1,4230,1913,1.0,0.68,42784,21.61,3.0,111,200.9966903073286,Large
890180,3,1.1,2101,2000,3.0,1.63,13191,9.76,8.0,24,423.6934792955735,Medium
328576,5,2.0,3341,1997,1.0,1.12,43160,86.2,8.0,27,98.34660281352889,Large
637833,4,1.6,2851,1910,1.0,0.69,74641,46.02,5.0,114,223.72255349000352,Medium
265838,3,2.0,1241,2004,2.0,1.26,59723,74.93,1.0,20,214.21273166800967,Small
435674,1,1.4,2876,1955,2.0,1.46,13631,29.06,7.0,69,151.48609179415854,Medium
979989,1,3.7,3980,1966,1.0,0.62,16172,78.7,5.0,58,246.22839195979898,Large
161087,2,2.8,3457,2022,3.0,0.89,52080,11.19,8.0,2,46.59733873300549,Large
693128,3,3.0,4598,1991,2.0,0.33,99097,35.6,9.0,33,150.74554153979992,Extra Large
218451,4,3.4,1604,1928,0.0,0.44,30281,97.81,7.0,96,136.1913965087282,Medium
547600,5,2.5,874,1908,0.0,1.39,38671,79.4,7.0,116,626.5446224256293,Small
937437,5,1.3,2975,1966,0.0,0.44,61431,49.73,1.0,58,315.1048739495798,Medium
539792,4,2.6,4724,1924,3.0,1.1,38602,33.98,4.0,100,114.26587637595259,Extra Large
139353,2,2.8,2889,1997,1.0,1.45,98789,87.21,2.0,27,48.23572170301142,Medium
293075,5,3.2,840,1975,0.0,0.3,61399,54.48,2.0,49,348.8988095238095,Small
314283,3,2.3,2881,1941,3.0,1.18,33472,75.84,2.0,83,109.08816383200278,Medium
414877,2,1.4,2422,1908,2.0,0.59,59230,75.41,4.0,116,171.29521056977705,Medium
165318,3,1.9,1141,1978,1.0,1.93,83616,1.79,1.0,46,144.88869412795793,Small
865313,1,2.1,4852,1939,2.0,1.02,17099,12.63,4.0,85,178.34150865622425,Extra Large
582690,2,2.9,2874,1924,3.0,1.63,35431,65.96,2.0,100,202.74530271398748,Medium
516880,5,2.7,1445,1904,0.0,1.15,66492,16.16,5.0,120,357.70242214532874,Small
691460,2,2.1,1409,1910,0.0,0.18,57684,25.55,3.0,114,490.74520936834637,Small
840976,2,4.0,1254,1958,3.0,1.3,40111,94.66,8.0,66,670.6347687400319,Small
881239,2,2.8,3753,1997,0.0,1.91,73936,56.02,4.0,27,234.8092192912337,Large
193264,2,1.7,2508,1987,1.0,1.24,32614,75.07,1.0,37,77.05901116427432,Medium
870746,3,1.3,4272,1978,3.0,1.66,51991,55.8,1.0,46,203.82631086142322,Large
913168,1,1.5,3769,1937,2.0,1.78,80476,55.25,3.0,87,242.2838949323428,Large
325281,4,1.7,3828,1971,3.0,0.53,70920,9.42,9.0,53,84.97413793103448,Large
737147,2,1.5,3481,2022,1.0,0.5,73530,34.37,7.0,2,211.76299913817869,Large
998613,5,1.6,4429,1904,1.0,1.26,46224,28.24,2.0,120,225.4714382479115,Large
494070,2,1.9,3867,1947,3.0,0.88,17788,39.07,9.0,77,127.76570985259892,Large
452228,5,1.5,2186,1989,3.0,1.7,38082,79.83,2.0,35,206.8746569075938,Medium
531839,3,3.7,4576,1917,0.0,1.81,99570,37.19,3.0,107,116.2235576923077,Extra Large
369536,5,1.2,3666,1969,1.0,0.77,86816,45.17,2.0,55,100.80087288597927,Large
417824,4,2.6,4163,1936,3.0,0.55,93588,39.74,3.0,88,100.36608215229401,Large
357426,1,2.2,4924,1959,3.0,1.58,26531,9.34,6.0,65,72.5885458976442,Extra Large
277789,5,3.9,948,1947,1.0,0.62,98340,44.11,9.0,77,293.0263713080169,Small
613153,5,1.3,4650,1976,3.0,1.66,54857,19.56,9.0,48,131.86086021505378,Extra Large
842452,1,2.2,2858,1927,0.0,0.91,20142,18.67,7.0,97,294.7697690692792,Medium
937291,4,3.9,1936,1968,1.0,1.37,58355,9.4,3.0,56,484.1379132231405,Medium
225657,2,3.6,986,1976,0.0,0.28,19866,35.67,4.0,48,228.86105476673427,Small
335167,5,3.5,3654,1980,0.0,1.29,80067,75.75,6.0,44,91.72605363984674,Large
781669,1,1.8,2050,2013,0.0,0.96,74027,27.64,5.0,11,381.3019512195122,Medium
580671,3,1.5,2133,1939,0.0,1.21,67906,31.23,2.0,85,272.2320675105485,Medium
819094,1,3.0,4993,1944,1.0,0.42,38138,64.27,6.0,80,164.048467854997,Extra Large
170467,3,3.8,4950,1995,0.0,1.5,39956,19.58,3.0,29,34.437777777777775,Extra Large
283734,4,2.7,3511,1961,0.0,1.74,86295,89.7,8.0,63,80.81287382512105,Large
722794,2,2.7,2585,1992,3.0,0.51,15439,52.02,2.0,32,279.61083172147,Medium
209751,1,1.8,1550,2014,1.0,0.28,57241,44.76,1.0,10,135.3232258064516,Medium
481050,5,3.3,2562,1957,1.0,0.14,52533,55.78,9.0,67,187.76346604215456,Medium
911774,4,1.6,4720,1966,2.0,1.32,38270,16.6,3.0,58,193.17245762711863,Extra Large
792517,1,2.0,1281,1955,1.0,1.25,88815,61.35,1.0,69,618.6705698672912,Small
561079,5,2.3,953,1939,1.0,1.14,49279,36.31,7.0,85,588.7502623294858,Small
468452,1,2.5,2324,1997,2.0,0.54,33888,89.72,5.0,27,201.57142857142858,Medium
206081,3,1.7,2920,1939,1.0,0.84,27630,16.89,5.0,85,70.57568493150686,Medium
713333,1,1.3,3143,1990,1.0,1.23,71063,50.71,1.0,34,226.95927457842825,Large
658986,1,2.8,2040,1976,1.0,1.04,45144,59.81,9.0,48,323.0323529411765,Medium
210078,1,1.9,860,2008,1.0,1.98,62161,3.34,7.0,16,244.2767441860465,Small
967055,4,2.7,1738,1932,2.0,0.36,87360,36.37,8.0,92,556.4182968929805,Medium
122671,1,1.5,2439,1905,1.0,1.42,60979,73.26,9.0,119,50.29561295612956,Medium
518400,5,2.4,4920,1987,1.0,0.87,16979,82.04,6.0,37,105.36585365853658,Extra Large
455528,3,2.6,4369,1918,2.0,0.91,36189,31.32,5.0,106,104.26367589837491,Large
710490,3,1.2,2052,1979,3.0,1.46,52600,79.86,6.0,45,346.2426900584795,Medium
151663,1,2.0,971,1939,0.0,1.42,69560,96.78,2.0,85,156.1925849639547,Small
115708,4,1.4,2258,1991,3.0,1.98,88040,85.69,4.0,33,51.24357838795394,Medium
978338,4,1.2,4349,1996,2.0,0.34,71558,11.76,3.0,28,224.95700160956542,Large
411955,5,4.0,4997,1958,0.0,0.3,96205,73.97,7.0,66,82.44046427856713,Extra Large
